CLUSTER, ILLEGAL, ACCEPT
[tʃ],0,1.0
[tʃ][tʃ],0,1.0
[tʃ][ts],0,0.75
[tʃ]k,0,1.0
[tʃ]v,0,1.0
[tʃ]w,0,1.0
[dʒ],0,1.0
[dʒ][dʒ],0,1.0
[ts],0,1.0
[ts]l,0,1.0
[ts]m,0,1.0
[ts]n,0,1.0
[ts]v,0,1.0
[ts]w,0,1.0
[ts]x,1,0.25
[ts]z,0,1.0
[ts]ʑ,1,0.0
b,0,1.0
bj,1,0.75
bl,0,1.0
br,0,1.0
brv,0,1.0
bw,0,1.0
bz,0,1.0
bʑ,0,0.5
bʒ,0,0.75
d,0,1.0
db,0,1.0
dj,0,0.75
dl,0,1.0
dm,0,1.0
dn,0,1.0
dr,0,1.0
drg,0,1.0
drv,0,1.0
drʒ,0,1.0
dv,0,1.0
dw,0,1.0
dzb,0,1.0
dzv,0,1.0
dɲ,0,1.0
dʑ,0,0.75
dʑv,0,1.0
dʒ,0,1.0
f,0,1.0
fj,1,0.75
fk,1,0.75
fl,0,1.0
fp,1,0.25
fr,0,1.0
fs,1,0.75
ft,0,0.75
fts,1,0.25
ftɕ,1,0.0
ftʃ,1,0.25
fx,1,0.75
fɕ,1,0.0
fʃ,1,0.75
g,0,1.0
gd,0,1.0
gdʑ,0,0.75
gjj,1,0.0
gl,0,1.0
gm,0,1.0
gn,0,1.0
gr,0,1.0
gv,0,1.0
gw,0,1.0
gz,0,1.0
gɲ,0,1.0
gʑ,0,0.5
gʒ,0,1.0
gʒb,0,0.5
gʒm,0,0.75
j,0,1.0
jm,1,0.5
k,0,1.0
k[ts],1,1.0
kf,1,0.75
kjj,2,0.25
kl,0,1.0
km,0,1.0
kn,0,1.0
kr,0,1.0
krt,0,1.0
krv,0,1.0
ks,0,1.0
kt,0,1.0
ktɕ,1,0.0
kv,0,1.0
kw,0,1.0
kɕ,0,0.5
kɲ,0,1.0
kʃ,0,1.0
kʃt,0,1.0
kʒ,0,0.5
l,0,1.0
lgn,0,1.0
lgɲ,0,1.0
lj,1,0.5
ln,0,1.0
lv,0,1.0
lɕɲ,0,1.0
lɲ,0,1.0
lʒ,0,1.0
m,0,1.0
mgl,0,1.0
mgw,0,1.0
mj,0,0.75
mkn,0,1.0
mkɲ,0,1.0
ml,0,1.0
mn,0,1.0
mr,0,1.0
mw,0,1.0
mx,0,1.0
mɟ,0,1.0
mɲ,0,1.0
mʃ,0,1.0
mʒ,0,1.0
n,0,1.0
p,0,1.0
pj,0,0.75
pl,0,1.0
pn,0,1.0
pr,0,1.0
ps,0,1.0
pstr,0,1.0
pt,0,1.0
pw,0,1.0
pw[ts],0,0.75
px,0,1.0
pxl,0,1.0
pxw,0,1.0
pɕ,0,0.5
pɲ,0,1.0
pʃ,0,1.0
pʃ[tʃ],0,1.0
pʒ,0,0.75
r,0,1.0
rdz,0,1.0
rj,1,0.25
rt,0,0.75
rv,0,1.0
rʒ,0,1.0
s,0,1.0
s[ts],0,1.0
sf,0,0.75
sk,0,1.0
skl,0,1.0
skr,0,1.0
skw,0,1.0
skʒ,0,0.5
sl,0,1.0
sm,0,1.0
smr,0,1.0
sn,0,1.0
sp,0,1.0
spl,0,1.0
spr,0,1.0
spʒ,0,0.5
sr,0,1.0
ss,0,1.0
st,0,1.0
str,0,1.0
sts,1,0.5
stv,0,1.0
stw,0,1.0
stɕ,1,0.0
stʃ,1,0.75
stʒ,1,0.75
sv,0,1.0
sw,0,1.0
sx,0,1.0
sxl,0,1.0
sxn,0,1.0
sxr,0,0.75
sxɲ,0,1.0
sɕ,1,0.75
sʃ,1,1.0
t,0,1.0
tf,0,0.75
tj,1,0.75
tk,0,1.0
tl,0,1.0
tm,1,1.0
tn,1,1.0
tp,1,1.0
tr,0,1.0
trv,0,1.0
tsf,1,0.25
tsm,1,0.5
tsn,1,0.5
tv,0,1.0
tw,0,1.0
tx,0,1.0
tɕm,1,0.5
tɲ,1,1.0
tʃ,1,1.0
tʃk,1,1.0
tʃt,1,0.25
tʒ,1,0.5
tʒ[ts],2,0.25
tʒm,1,0.5
v,0,1.0
v[tʃ],0,1.0
vb,0,1.0
vd,0,1.0
vdʑ,0,0.75
vg,0,1.0
vj,0,0.75
vk,0,1.0
vkr,0,1.0
vl,0,1.0
vm,0,1.0
vn,0,1.0
vp,0,1.0
vpw,0,1.0
vr,0,1.0
vsk,0,1.0
vsp,0,1.0
vst,0,1.0
vstr,0,1.0
vstʒ,1,0.5
vsx,0,1.0
vt,0,1.0
vv,0,0.5
vw,0,1.0
vz,0,1.0
vzg,0,1.0
vzr,0,1.0
vzv,0,1.0
vɕ,0,0.5
vɲ,0,1.0
vʃ,0,1.0
vʑ,0,0.5
vʒ,0,0.75
w,0,1.0
wb,1,1.0
wg,0,1.0
wz,0,1.0
wʑ,1,0.5
wʒ,1,1.0
x,0,1.0
x[ts],0,1.0
xf,1,0.5
xj,1,0.75
xl,0,1.0
xm,0,1.0
xr,0,1.0
xts,2,0.25
xv,0,1.0
xw,0,1.0
xʃ,1,0.75
xʒ,1,0.75
xʒ[tʃ],2,0.5
xʒ[ts],2,0.5
xʒt,2,0.5
z,0,1.0
zb,0,1.0
zbl,0,1.0
zbr,0,1.0
zd,0,1.0
zdj,0,1.0
zdr,0,1.0
zdʑ,0,0.75
zg,0,1.0
zgj,0,0.75
zgl,0,1.0
zgr,0,1.0
zgɲ,0,1.0
zgʒ,0,0.75
zj,0,1.0
zl,0,1.0
zm,0,1.0
zmr,0,1.0
zn,0,1.0
zr,0,1.0
zv,0,1.0
zvr,0,1.0
zvw,0,1.0
zw,0,1.0
zz,0,1.0
zɲ,0,1.0
zʃ,0,1.0
zʒ,0,1.0
ɕ,0,1.0
ɕ[ts],0,0.5
ɕf,1,0.5
ɕl,0,1.0
ɕm,0,1.0
ɕp,0,1.0
ɕr,0,1.0
ɕv,0,1.0
ɕɲ,0,1.0
ɟ,0,1.0
ɲ,0,1.0
ʃ,0,1.0
ʃ[tʃ],0,1.0
ʃ[tʃ]v,0,1.0
ʃ[ts],1,1.0
ʃf,1,0.75
ʃk,0,1.0
ʃkl,0,1.0
ʃkv,0,1.0
ʃkw,0,1.0
ʃl,0,1.0
ʃm,0,1.0
ʃn,0,1.0
ʃp,0,1.0
ʃpr,0,1.0
ʃpʒ,0,0.5
ʃr,0,1.0
ʃt,0,1.0
ʃv,0,1.0
ʃw,0,1.0
ʑ,0,0.75
ʑdʑb,0,1.0
ʑdʑbl,0,1.0
ʑdʑbw,0,1.0
ʑl,0,1.0
ʑr,0,1.0
ʒ,0,1.0
ʒb,0,1.0
ʒm,0,1.0
ʒn,1,1.0
ʒv,0,1.0
ʒw,0,1.0
ʒɲ,0,1.0
